step,timestamp,gene_dnaA,gene_rpoB,gene_gyrA,gene_ftsZ,gene_groEL,gene_atpD,gene_tufA,protein_DnaA,protein_RpoB,protein_GyrA,protein_FtsZ,protein_GroEL,protein_AtpD,protein_TufA,metabolite_glucose,metabolite_atp,metabolite_adp,metabolite_nadh,metabolite_amino_acids,pathway_glycolysis,pathway_translation,pathway_replication
24,12.0,4.508410239584737,3.6595907099693683,2.6570412506295695,2.6570412506295695,2.2037695965539075,3.0789687636932888,3.6595907099693683,1.8126210307265125,1.4073937622851243,0.9742278213271196,0.9742278213271196,0.791938314249387,1.151172022688677,1.4073937622851243,3.1785662337714937,2.0892831168857464,1.0,0.7276792207785634,1.5446415584428732,4.6003746959386635,3.3006615549158473,3.2617245451080707
25,12.5,4.632201937122011,3.7756072246453662,2.7545939721233124,2.7545939721233124,2.2896750742081258,3.1855169586389582,3.7756072246453662,1.837795027618237,1.4314142547870021,0.9943812795638465,0.9943812795638465,0.8095832753921208,1.1732513455202171,1.4314142547870021,3.124102077927206,2.062051038963603,1.0,0.7344872402590993,1.5310255194818014,4.6073045579262955,3.3166083348421607,3.2794309394494365
26,13.0,4.756525560046727,3.893111536303663,2.8543847309731873,2.8543847309731873,2.377945768191282,3.2940552151020244,3.893111536303663,1.8648184152384935,1.4571713304552436,1.0160218338599838,1.0160218338599838,0.8285527558272968,1.196940158621757,1.4571713304552436,3.070999525979026,2.0354997629895126,1.0,0.7411250592526218,1.5177498814947563,4.614477201067361,3.333245070921838,3.297872501364829
27,13.5,4.8812291610321745,4.011985525948343,2.9563664065597823,2.9563664065597823,2.468569926218552,3.4045039770564216,4.011985525948343,1.8936082235023732,1.48461240208119,1.0391299023309792,1.0391299023309792,0.8488393661913958,1.2222057501170795,1.48461240208119,3.0192245378295506,2.0096122689147746,1.0,0.7475969327713063,1.5048061344573873,4.621844028468545,3.350525069479299,3.3170021259104
28,14.0,5.006158628471229,4.132104662943665,3.0604842152385956,3.0604842152385956,2.5615292351263266,3.5167759392602775,4.132104662943665,1.9240817780390354,1.513684398550722,1.0636855125953952,1.0636855125953952,0.8704356287599841,1.2490148610927325,1.513684398550722,2.9687439243838116,1.9843719621919051,1.0,0.7539070094520237,1.4921859810959526,4.629359160954692,3.368402471869105,3.336772780498981
29,14.5,5.131158438827706,4.253338451363245,3.1666756078419023,3.1666756078419023,2.6567985367706086,3.6307761711884914,4.253338451363245,1.9561566501077763,1.5443336399072671,1.089668127161673,1.089668127161673,0.8933338107412502,1.2773335223178082,1.5443336399072671,2.9195253262742162,1.9597626631371075,1.0,0.7600593342157231,1.4798813315685537,4.6369797206717305,3.3868325990890478,3.357137867677369
30,15.0,5.256072426147327,4.375550934022182,3.274870216207493,3.274870216207493,2.754345571284207,3.7464023017215653,4.375550934022182,1.9897506282560706,1.5765057312624584,1.1170564762087767,1.1170564762087767,0.9175257594862929,1.3071269037449569,1.5765057312624584,2.8715371931173608,1.9357685965586797,1.0,0.7660578508603301,1.4678842982793399,4.644666022183721,3.4057722140110736,3.3780515189426326
31,15.5,5.380744560710162,4.498601250842179,3.384989852352853,3.384989852352853,2.8541307522181527,3.8635447657759205,4.498601250842179,2.024781710861021,1.61014547597039,1.1458283987071591,1.1458283987071591,0.943002740317432,1.338359177702107,1.61014547597039,2.824748763289427,1.9123743816447127,1.0,0.7719064045888219,1.4561871908223563,4.65238168063224,3.4251797078652,3.399468824514844
32,16.0,5.50501972860761,4.622344247313894,3.496948563467837,3.496948563467837,2.956106978075274,3.982087113278944,4.622344247313894,2.0611681185331605,1.6451968083547177,1.1759606928584971,1.1759606928584971,0.9697552777534423,1.3709933966489753,1.6451968083547177,2.779130044207191,1.889565022103595,1.0,0.7776087444741013,1.4447825110517973,4.660093647504445,3.445015219048318,3.4213460053083167
33,16.5,5.628744503976195,4.746631127976209,3.61065274536353,3.61065274536353,3.060219484649911,4.10190638005418,4.746631127976209,2.0988283252059072,1.6816027461363872,1.2074289768496604,1.2074289768496604,0.9977730009820179,1.4049913863178811,1.6816027461363872,2.734651793102011,1.8673258965510051,1.0,0.7831685258622488,1.4336629482755023,4.66777218491376,3.4652406931626056,3.4436405341439054
