step,timestamp,gene_MCM2,gene_MCM5,gene_PCNA,gene_DNA_POL_ALPHA,gene_CDC45,gene_CCND1,gene_CDK2,gene_RB1,gene_TP53,gene_ATM,gene_ATR,gene_CHEK1,gene_STAT1,gene_IRF7,gene_IFNB1,gene_BAX,gene_BCL2,gene_HSPA1A,gene_FKBP1A,gene_MTOR,gene_viral_LT,gene_viral_ST,gene_viral_VP1,gene_viral_VP2,gene_viral_VP3,protein_MCM2,protein_PCNA,protein_RB1,protein_p53,protein_STAT1,protein_mTOR,protein_LT,protein_ST,protein_VP1,metabolite_atp,metabolite_dATP,metabolite_dCTP,metabolite_dGTP,metabolite_dTTP,metabolite_amino_acids,pathway_dna_replication,pathway_cell_cycle,pathway_dna_damage_response,pathway_innate_immune,pathway_apoptosis,pathway_mTOR_signaling,pathway_viral_replication,pathway_cellular_stress,pathway_interferon_response,pathway_nucleotide_synthesis
20,20.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,2.8431214152221584,2.761330721462435,2.761330721462435,2.679540027702713,3.589476531752618,3.4559549374015988,3.3224333430505797,0.6985048621102092,0.780295555869932,0.7,1.0,1.0,6.142289605691002,0.4605858130457434,0.4605858130457434,0.4605858130457434,0.4605858130457434,1.0,1.2,1.2,2.8431214152221584,3.589476531752618,1.0,6.142289605691002,0.4605858130457434,0.4605858130457434,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,2.537181951703206,0.3,0.4,0.7
21,21.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,3.2941321379780577,3.213159351155932,3.213159351155932,3.1321865643338067,4.284794100170559,4.15394293770656,4.023091775242562,0.7110608936340203,0.7920336804561459,0.7,1.0,1.0,7.159313950203971,0.6073811969896121,0.6073811969896121,0.6073811969896121,0.6073811969896121,1.0,1.2,1.2,3.2941321379780577,4.284794100170559,1.0,7.159313950203971,0.6073811969896121,0.6073811969896121,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,2.935907678877373,0.3,0.4,0.7
22,22.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,3.831498137331631,3.7513350783777266,3.7513350783777266,3.6711720194238224,5.1115899313405135,4.983355792125795,4.855121652911077,0.7236372568281019,0.8038003157820063,0.7,1.0,1.0,8.30032060152122,0.7764564532864635,0.7764564532864635,0.7764564532864635,0.7764564532864635,1.0,1.2,1.2,3.831498137331631,5.1115899313405135,1.0,8.30032060152122,0.7764564532864635,0.7764564532864635,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,3.381505125937028,0.3,0.4,0.7
23,23.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,4.466289560445831,4.386928132081466,4.386928132081466,4.307566703717101,6.08632837989373,5.960658923463305,5.834989467032882,0.7362191591772005,0.8155805875415659,0.7,1.0,1.0,9.580342584659569,0.9704463762726905,0.9704463762726905,0.9704463762726905,0.9704463762726905,1.0,1.2,1.2,4.466289560445831,6.08632837989373,1.0,9.580342584659569,0.9704463762726905,0.9704463762726905,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,3.8797984597245403,0.3,0.4,0.7
24,24.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,5.210901116396202,5.132333302315481,5.132333302315481,5.05376548823476,7.227440934783583,7.104284867481766,6.981128800179952,0.7487934150110702,0.827361229091792,0.7,1.0,1.0,11.016242179701587,1.1923117128487513,1.1923117128487513,1.1923117128487513,1.1923117128487513,1.0,1.2,1.2,5.210901116396202,7.227440934783583,1.0,11.016242179701587,1.1923117128487513,1.1923117128487513,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,4.437306731521214,0.3,0.4,0.7
25,25.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,6.079214385991587,6.001432250051673,6.001432250051673,5.923650114111759,8.555567765302866,8.434874819347085,8.314181873391307,0.761348283544037,0.8391304194839516,0.7,1.0,1.0,12.626932870895782,1.4453781860727883,1.4453781860727883,1.4453781860727883,1.4453781860727883,1.0,1.2,1.2,6.079214385991587,8.555567765302866,1.0,12.626932870895782,1.4453781860727883,1.4453781860727883,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,5.0613294644807425,0.3,0.4,0.7
26,26.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,7.086779718987605,7.009775404407091,7.009775404407091,6.932771089826575,10.093828372966305,9.975549285929638,9.857270198892977,0.7738733231233664,0.8508776377038819,0.7,1.0,1.0,14.433628284953796,1.7333803130412249,1.7333803130412249,1.7333803130412249,1.7333803130412249,1.0,1.2,1.2,7.086779718987605,10.093828372966305,1.0,14.433628284953796,1.7333803130412249,1.7333803130412249,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,5.76004253936873,0.3,0.4,0.7
27,27.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,8.25102011053403,8.174785839099322,8.174785839099322,8.098551567664611,11.86812490748506,11.752211402189126,11.636297896893197,0.7863592600654256,0.8625935315001358,0.7,1.0,1.0,16.460121395271564,2.0605105948636124,2.0605105948636124,2.0605105948636124,2.0605105948636124,1.0,1.2,1.2,8.25102011053403,11.86812490748506,1.0,16.460121395271564,2.0605105948636124,2.0605105948636124,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,6.542605636447753,0.3,0.4,0.7
28,28.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,9.591459738192166,9.515987809471802,9.515987809471802,9.44051588075144,13.907482135356918,13.793886900166903,13.680291664976892,0.7987978706207348,0.874269799341098,0.7,1.0,1.0,18.733097667001985,2.4314747270668766,2.4314747270668766,2.4314747270668766,2.4314747270668766,1.0,1.2,1.2,9.591459738192166,13.907482135356918,1.0,18.733097667001985,2.4314747270668766,2.4314747270668766,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,7.419282644065284,0.3,0.4,0.7
29,29.0,1.0,1.0,1.2,1.0,1.0,0.8,1.0,1.2,11.129980165604698,11.05526295617154,11.05526295617154,10.980545746738379,16.244428532320907,16.13310520183469,16.02178187134848,0.8111818747548947,0.8858990841880542,0.7,1.0,1.0,21.282486264486064,2.851553557850756,2.851553557850756,2.851553557850756,2.851553557850756,1.0,1.2,1.2,11.129980165604698,16.244428532320907,1.0,21.282486264486064,2.851553557850756,2.851553557850756,3.0,0.5,0.5,0.5,0.5,2.0,0.8,0.6,0.3,0.5,0.2,1.0,8.401576615677584,0.3,0.4,0.7
